Test Name,Operation,Success,Attempts,Execution Time (ms),Memory Allocated (MB),Memory Reserved (MB),Peak Memory (MB)
core_op_add,torch.add,Yes,3,2.654,1.000,8.000,7.000
core_op_mul,torch.mul,Yes,2,2.085,1.000,12.000,7.000
core_op_sub,torch.sub,Yes,2,1.581,1.000,12.000,11.000
core_op_div,torch.div,Yes,1,1.754,1.000,12.000,7.000
core_op_pow,torch.pow,Yes,4,2.032,1.000,12.000,10.000
core_op_neg,torch.neg,Yes,2,1.216,1.000,12.000,5.000
core_op_abs,torch.abs,Yes,2,1.140,1.000,12.000,8.000
core_op_exp,torch.exp,Yes,3,1.373,1.000,12.000,5.000
core_op_log,torch.log,Yes,2,1.496,1.000,12.000,8.000
core_op_sqrt,torch.sqrt,Yes,2,1.261,1.000,12.000,11.000
core_op_rsqrt,torch.rsqrt,Yes,2,1.257,1.000,12.000,5.000
core_op_reciprocal,torch.reciprocal,Yes,1,1.565,1.000,12.000,8.000
core_op_round,torch.round,Yes,2,1.756,1.000,12.000,5.000
core_op_floor,torch.floor,Yes,2,1.225,1.000,12.000,5.000
core_op_ceil,torch.ceil,Yes,1,2.249,1.000,12.000,8.000
core_op_clamp,torch.clamp,Yes,5,1.890,1.000,12.000,5.000
core_op_maximum,torch.maximum,Yes,1,1.548,1.000,12.000,9.000
core_op_minimum,torch.minimum,Yes,2,1.825,-4.000,14.000,11.000
core_op_where,torch.where,Yes,1,2.534,1.000,14.000,7.500
